Milk (regular)  (1 liter),7.11 Bds$
Loaf of Fresh White Bread (500g),4.42 Bds$
Rice (white)  (1kg),5.65 Bds$
Eggs (regular) (12),7.97 Bds$
Local Cheese (1kg),12.63 Bds$
Chicken Breasts (Boneless  Skinless)  (1kg),20.83 Bds$
Beef Round (1kg) (or Equivalent Back Leg Red Meat),23.77 Bds$
Apples (1kg),8.49 Bds$
Banana (1kg),4.72 Bds$
Oranges (1kg),8.73 Bds$
Tomato (1kg),7.36 Bds$
Potato (1kg),3.76 Bds$
Onion (1kg),3.97 Bds$
Lettuce (1 head),4.30 Bds$
Water (1.5 liter bottle),5.20 Bds$
Bottle of Wine (Mid-Range),30.00 Bds$
Domestic Beer (0.5 liter bottle),3.00 Bds$
Imported Beer (0.33 liter bottle),5.50 Bds$
Cigarettes 20 Pack (Marlboro),12.50 Bds$
