Milk (regular)  (1 liter),3.18 S$
Loaf of Fresh White Bread (500g),1.94 S$
Rice (white)  (1kg),2.58 S$
Eggs (regular) (12),2.37 S$
Local Cheese (1kg),19.84 S$
Chicken Breasts (Boneless  Skinless)  (1kg),6.77 S$
Beef Round (1kg) (or Equivalent Back Leg Red Meat),13.50 S$
Apples (1kg),3.68 S$
Banana (1kg),2.18 S$
Oranges (1kg),3.13 S$
Tomato (1kg),2.14 S$
Potato (1kg),2.28 S$
Onion (1kg),2.07 S$
Lettuce (1 head),1.37 S$
Water (1.5 liter bottle),1.42 S$
Bottle of Wine (Mid-Range),23.00 S$
Domestic Beer (0.5 liter bottle),3.87 S$
Imported Beer (0.33 liter bottle),4.11 S$
Cigarettes 20 Pack (Marlboro),14.00 S$
